ID,Name,Frequency [MHz],Status,Description
41557,ÑuSat 1,145.9,inactive,Mode V Beacon
41557,ÑuSat 1,436.445,active,Mode U TLM FSK 40k
41557,ÑuSat 1,145.935,active,Mode U/V Linear
41557,ÑuSat 1,145.957,invalid,Unknown signal
43466,1KUNS-PF,437.3015,active,Telemetry (drifting)
43466,1KUNS-PF,437.3,active,TLM GMSK
43466,1KUNS-PF,437.3,active,TLM GMSK 9k6
44316,2019-032G - Unknown Satellite,401.305,active,Downlink
44842,2019-087E - Unknown Satellte,401.687,active,Downlink
44884,2019-093F,401.546,active,Mode U
49322,2021-091H,435.75,invalid,Mode U - BPSK 9600
49322,2021-091H,435.75,active,Mode U - FSK 1200
49322,2021-091H,435.75,active,Mode U - FSK 9600
52085,2022-027B,401.55,active,Mode U
52085,2022-027B,400.006,active,UHF Unknown
52420,2022-047AC,437.075,active,Possible Mode U
49324,21091K Unknown Sat 2,435.775,active,Mode U - BPSK 6666
99901,3CAT-1,437.25,active,CW Beacon
99901,3CAT-1,437.25,active,FSK9k6 TLM
41732,3CAT-2,145.97,active,Mode V Telemetry
41732,3CAT-2,2401,active,Mode S Telemetry
46292,"3CAT-5/A, FSSCat A",401.337,active,Downlink
46293,"3CAT-5/B, FSSCat B",401.377,active,Downlink
42775,AALTO-1,437.22,invalid,GFSK9k6
42775,AALTO-1,437.22,active,GFSK9600
42775,AALTO-1,437.22,inactive,TLM CW
42775,AALTO-1,2402,active,S-Band downlink (TI CC1125)
42729,AALTO-2,437.335,active,TLM GFSK
39087,AAUSAT 3,437.425,active,Mode 4800bps FSK CW
41460,AAUSAT 4,437.425,active,Mode U Beacon
41460,AAUSAT 4,437.424,active,"Mode U TLM (default, drifting)"
41460,AAUSAT 4,437.424,active,Mode U TLM
40948,AAUSAT 5,437.425,inactive,CW TLM
40948,AAUSAT 5,437.425,inactive,1k2 GMSK TLM
40948,AAUSAT 5,437.425,inactive,9k6 GMSK TLM
